,name,num
4096,hindu,8.0
4101,political negotiations,6.0
4102,conference,2.0
4104,nonviolent resistance,1.0
4106,apartheid,18.0
4108,protest,27.0
4109,independence movement,1.0
4110,bombay india,9.0
6157,prayer,22.0
6193,world religion,6.0
6194,hinduism,8.0
7926,mahatma gandhi,3.0
2111,soviet union,36.0
6281,partnership,16.0
5832,bed and breakfast place,4.0
8032,florence,5.0
3290,laser,17.0
41609,ego,7.0
155722,teen comedy,32.0
156811,usaf,1.0
156813,computer cracker,1.0
4372,wall,6.0
3104,killing fields,1.0
3105,red khmer,2.0
3106,pol pot,1.0
1192,sweden,47.0
4190,lost civilisation,5.0
4191,defense mechanism,1.0
13031,creature,49.0
13040,electrocution,16.0
14825,electronic music score,5.0
208337,lost race,1.0
210393,nuclear reactor,1.0
221816,disobeying orders,3.0
222915,forcefield,5.0
227719,alien civilization,1.0
156802,cornfield,9.0
158679,pta,2.0
163976,reconciliation,9.0
227655,hearing voices,2.0
227656,school board,2.0
2505,coronation,9.0
41394,ruler,3.0
235774,british raj,2.0
168374,loot sharing,1.0
3276,peep show,1.0
165787,home movie,5.0
3200,platonic love,6.0
10556,male female relationship,42.0
5696,grunge,4.0
11700,rock music,30.0
5779,daydream,7.0
6399,rope,12.0
156651,lipstick,2.0
156770,tightrope,4.0
156771,cutter,1.0
156772,peony,1.0
156773,mastercard,1.0
190427,vaudeville act,1.0
5349,surfing,29.0
4083,rottweiler,4.0
158895,shaved head,3.0
160879,crash landing,3.0
163045,impregnation,4.0
178652,penal colony,2.0
189414,furnace,4.0
193149,suspended animation,3.0
1567,intensive care,5.0
4553,black humor,22.0
161750,dollhouse,2.0
194834,amityville horror,4.0
3684,religion and supernatural,23.0
2626,exorcism,36.0
3350,poltergeist,10.0
9675,prequel,28.0
9712,possession,67.0
161261,demonic possession,27.0
159940,exorcist,7.0
173099,indian burial ground,3.0
173103,newspaper article,3.0
230191,haunted,5.0
11183,fireplace,6.0
14792,tarantula,8.0
2389,virgin,63.0
155493,campy,19.0
232441,sister sister incest,2.0
154681,april fool's day,2.0
186463,holiday horror,8.0
219991,elimination derby,8.0
221023,college friends,2.0
4720,ritual,32.0
156593,ritual murder,3.0
3556,seclusion,5.0
5500,playground,7.0
10430,seagull,2.0
11237,rotoscoping,4.0
11429,head wound,4.0
11732,cigarette smoking,38.0
14660,bird attack,5.0
156390,face slap,17.0
159841,cigarette lighter,4.0
170378,schoolteacher,8.0
172210,lovebird,1.0
172218,shopkeeper,1.0
172223,chased down street,1.0
172225,unsolved mystery,1.0
172226,blood on head,1.0
172228,schoolhouse,1.0
10154,blob,5.0
167149,good cop bad cop,4.0
172136,space monster,6.0
188178,teenage hero,7.0
221696,kid brother,2.0
233401,monster film,1.0
234727,teenage heroine,1.0
234730,unkillable monster,1.0
234731,people eater,1.0
234732,night of horror,1.0
234733,highschool kids,2.0
234736,skeptical adults,1.0
234739,learning to listen,1.0
5789,sand,5.0
180162,death row inmate,4.0
187675,medical student,6.0
191331,body snatchers,2.0
155301,rough sex,3.0
160292,religious conflict,4.0
169618,bestiality,5.0
169620,correspondence,2.0
169621,vampire sex,1.0
169626,autonomous shadow,1.0
225470,vlad,4.0
5313,parts of dead body,4.0
5314,mill,6.0
155489,classic horror,10.0
235810,comedic relief,1.0
15346,old dark house,12.0
155733,old house,14.0
161707,candyman,1.0
161722,housing project,1.0
161728,urban decay,3.0
187343,belief,3.0
41381,rapist,10.0
165271,listening to the radio,1.0
1674,stage,12.0
3036,bible,47.0
10266,prom,24.0
14624,cruelty,34.0
14837,rage,21.0
164346,praying,5.0
173971,taunting,2.0
222314,abusive mother,3.0
226602,firestorm,1.0
10563,attack,30.0
10968,lingerie,11.0
15365,held captive,18.0
157890,dissection,2.0
179416,jungle cat,2.0
2116,sleep,8.0
157418,boiler room,2.0
171814,medical test,2.0
272,transylvania,15.0
1370,shapeshifting,3.0
1430,self sacrifice,28.0
4078,ghost ship,9.0
13056,loss of wife,18.0
156818,seashore,2.0
157185,vampire bat,4.0
158142,real estate agent,12.0
158729,ghoul,6.0
165114,locket,3.0
171251,corpse in coffin,2.0
179860, nosferatu,4.0
179870,black death,3.0
179874,expressionism,3.0
179875,mountain country,1.0
179882,romania,22.0
238477,rats,1.0
394,gypsy,30.0
4084,devil's son,6.0
4087,revelation,9.0
208709,columbia university,1.0
856,paraplegic,11.0
946,excommunication,1.0
1330,social coercions,2.0
181011,oil platform,3.0
1406,night watchman,9.0
503,federation,4.0
505,starfleet,5.0
522,borg,1.0
671,enterprise-e,2.0
49960,business start-up,5.0
3810,jumping,4.0
33484,concert hall,3.0
191815,breakdown,5.0
170630,repair shop,1.0
170633,southern,6.0
170646,death threat,5.0
170647,story,3.0
170648,religious art,1.0
210190,turboman,1.0
210191,navidad,1.0
2409,church choir,6.0
5708,gospel,7.0
172504,reverend,8.0
33790, drainage project,1.0
41276, powder,2.0
1700,massachusetts,12.0
10138,satan,18.0
33795,salem,2.0
8841,puppy,18.0
158369,dalmatian,4.0
4709,hand grenade,10.0
10808,dulles international airport,2.0
11720,officer involved shooting,2.0
158770,air traffic control,5.0
195741,commando unit,2.0
207771,snowmobile,4.0
504,uss enterprise,2.0
155211,klingon,3.0
155212,vulcan,5.0
559,peace conference,1.0
665,uss enterprise-a,3.0
750,rura penthe,1.0
4732,peace contract,1.0
748,sha-ka-ree,1.0
12388,romulans,3.0
747,genesis,1.0
1613,terraforming,2.0
1615,simulator,1.0
1617,cadet,6.0
1618,radiation,19.0
5218,uss reliant,1.0
5219,ceti alpha v,1.0
5359,marine biologist,4.0
15002,dark hero,5.0
15481,fictional city,2.0
163074,super villain,9.0
173861,deformed,2.0
173866,bird cage,1.0
173867,evil circus,1.0
214644,christmas holiday,1.0
34130,makeover,10.0
164246,nostalgic,2.0
165132,greaser,1.0
165136,wolf whistle,1.0
165137,school dance,4.0
165139,animated credits,1.0
165143,pep rally,2.0
165147,wrong side of the tracks,3.0
165148,mooning,1.0
165154,school principal,4.0
8290,talent show,5.0
188957,virus,54.0
13098,moral courage,2.0
162756,whaler,2.0
2993,police chief,14.0
2996,ferry boat,1.0
11280,dolly zoom,1.0
15097,shark,54.0
15098,great white shark,8.0
3735,boat accident,4.0
4210,panic,20.0
5156,current,2.0
158297,high-tension current,1.0
204009,tourism,3.0
15058,swimming,19.0
158108,killer shark,4.0
158252,giant animal,5.0
158345,water skiing,4.0
158350,boat trouble,2.0
158353,sea world,1.0
3635,national security agency (nsa),12.0
169028,sable,2.0
169046,writ,1.0
839,mars,24.0
843,cataclysm,12.0
1705,congress,9.0
193013,extremist,3.0
194228,salesmen,1.0
4967,assignment,6.0
155509,hemmingway,3.0
8097,leukemia,13.0
10163,cancer,83.0
185263,bone marrow transplant,2.0
163116,civil rights,9.0
208647,activist,13.0
156022,nypd,7.0
1670,sun,10.0
14570,las vegas,41.0
3804,post,3.0
4025,brittany,3.0
4029,bourgeoisie,14.0
5808,pregnant minor,12.0
5916,gallery owner,3.0
157380,tabloid,6.0
157384,news reporter,4.0
8519,mohawk,1.0
208123,french and indian war,2.0
6140,vice,8.0
210494,archangel michael,1.0
509,denmark,28.0
212738,british prison,1.0
175357,neurotic,8.0
208476,starting over,6.0
2565,bath tub,7.0
165707,deification,1.0
165713,dancehall hostess,1.0
165716,perónism,2.0
165718,argentine president,1.0
165727,singing narrator,1.0
165728,soccer ball,1.0
414,hunter,23.0
161281,geologist,6.0
188154,rites of passage,3.0
193760,australian outback,16.0
207476,dingo,2.0
208662,kangaroo,5.0
209560,aboriginal,4.0
214511,sunburn,1.0
215162,indigenous peoples,8.0
215413,walkabout,1.0
215414,didgeridoo,1.0
215415,australian bush,1.0
215416,adelaide south australia,1.0
3983,marketing,8.0
4328,costume,22.0
2080,stewardess,17.0
198541,air marshal,1.0
208637,turbulence,2.0
3075,ninja fighter,7.0
8119,persuasion,2.0
156236,jewel thief,20.0
200808,negotiation,5.0
161213,high school reunion,14.0
207964,aspiring architect,1.0
9855,slow motion scene,10.0
179029,rubbing suntan lotion on someone,2.0
210547,kite,1.0
211677,sunbathing,3.0
2227,evacuation,12.0
2859,lava,7.0
3623,cabin,38.0
4663,lovers,49.0
7051,volcanologist,4.0
158272,seismograph,2.0
163398,volcanic eruption,6.0
164658,rowboat,5.0
188351,catastrophe,15.0
208580,acid,7.0
211215,county fair,2.0
220844,volcanic ash,2.0
2134,press,10.0
6996,car garage,4.0
1897,oregon,17.0
204967,runner,5.0
457,responsability,4.0
1907,fictitious marriage,8.0
2452,crematorium,5.0
3536,cello,8.0
3614,disappointment,11.0
4051,ban from profession,2.0
4052,political instability,6.0
4053,trabant,2.0
33479,single father,28.0
208147,czech republic,1.0
164605,withdrawal,4.0
10260,mechanic,13.0
14529,improvisation,7.0
157409,whispering,2.0
160510,travel agent,2.0
160511,amateur theater,3.0
160512,dairy queen,1.0
160515,alien contact,4.0
160518,city council,2.0
160522,wagon train,10.0
160528,chinese restaurant,1.0
160529,product licensing,1.0
160530,hidden character,1.0
208664,beautician,1.0
159949,neo nazi,6.0
6433,roulette,9.0
4317,wedding night,5.0
2359,headache,3.0
3295,vicious circle,1.0
3302,bloodthirstiness,3.0
3305,housebreaking,4.0
3394,identity crisis,8.0
167715,informant,4.0
177554,stealing money,3.0
177555,marriage counselor,1.0
177565,shaving cream,1.0
177571,playing cards,8.0
4513,blind date,14.0
18115,retired,16.0
155331,jewel,15.0
193227,lunatic,3.0
190068,released from prison,4.0
199080,bank robbery attempt,2.0
4954,paternity,7.0
6935,erection,15.0
1594,ex-boyfriend,13.0
5138,gas,8.0
6168,master thief,9.0
186946,the saint,3.0
792,copenhagen,17.0
3355,inuit,12.0
8721,arctic,15.0
2423,simulation,5.0
2699,fetish,16.0
2843,fetishism,12.0
4425,james dean,3.0
15219,rooftop,12.0
177972,bickering,4.0
164447,tejano,1.0
164460,elopement,9.0
164468,bustier,1.0
164476,fan club,1.0
11128,furry,8.0
11500,anthropomorphism,37.0
208586,acting,3.0
208916,movies,7.0
155247,irreverence,2.0
155248,nephew,5.0
3650,child hero,17.0
10864,human sacrifice,17.0
11272,piloted robot,4.0
156159,martial arts tournament,6.0
161742,film starts with text,2.0
185200,pirate ship,5.0
158233,anaconda,4.0
158235,film crew,9.0
158241,killer snake,7.0
158244,river boat,3.0
217120,amazon river,3.0
6275,school party,7.0
5919,necrophilia,20.0
33709,head,2.0
163208,singapore,11.0
208674,irish traveller,1.0
199656,white woman,4.0
209125,gourmet,1.0
209126,caucasus,2.0
7151,junk food,9.0
7289,cafeteria,4.0
33922,pop music,14.0
171556,social outcast,12.0
173497,dance club,4.0
184426,ruse,3.0
192839,excercise,2.0
197077,cliques,3.0
197079,faded trends,1.0
197081,airhead,1.0
1925,camera,27.0
6539,joseph stalin,7.0
14598,vodka,4.0
4159,dancing scene,7.0
4504,penthouse apartment,1.0
4505,judo,4.0
4506,trapdoor,2.0
4507,clowning,10.0
14914,swinging,5.0
155762,swinging 60s,9.0
1927,car breakdown,11.0
2441,donut,3.0
9743,stranded,37.0
10250,redneck,21.0
11259,extortion,16.0
156165,trucker,11.0
18171,thunderstorm,8.0
212676,wrath of god,1.0
1508,new mexico,24.0
2035,mythology,51.0
163607,chinese food,2.0
7028,run away,4.0
11733,drug dealing,15.0
3622,stowaway,8.0
10150,end of the world,29.0
11290,cab driver,8.0
169593,resort hotel,2.0
172718,ancient astronaut,3.0
223344,archeologist,6.0
229863,ancient evil,3.0
234630,cruise liner,2.0
15188,martha's vineyard,2.0
208634,town gossip,1.0
208635,traumatic experience,1.0
1673,brass band,2.0
1766,velociraptor,4.0
1768,san diego,7.0
33780,dentist,18.0
158120,exterminator,5.0
194088,heart warming,4.0
10483,eccentric,21.0
15234,convict,29.0
33482,war hero,9.0
156805,dea agent,7.0
195295,motorcycle chase,8.0
228194,collision course,1.0
10452,credit card,4.0
2033,hades,5.0
180912,olympus,2.0
187301,hercules,21.0
10116,female,4.0
14629,experimental film,68.0
208645,telephone conversation,2.0
209992,japanese cyberpunk,10.0
236175,part of trilogy,3.0
883,capri,1.0
1865,biological weapon,12.0
12391,boat chase,8.0
170212,criminal gang,7.0
188134,golden gun,3.0
194942,arch villain,3.0
208708,bullet ballet,1.0
4522,supermodel,8.0
160963,elderly couple,7.0
238096,rug,1.0
2173,illegal immigration,22.0
2428,deportation,16.0
3240,giant cockroach,2.0
3242,cannon,9.0
4751,stay permit,2.0
174915,fictional government agency,3.0
2846,prime number,2.0
3412,star,18.0
3416,radio wave,1.0
3417,wormhole,7.0
10706,spirituality,16.0
159961,ham radio,1.0
162356,mechanical engineering,2.0
226028,eccentric man,2.0
539,middle east,26.0
11718,feminist,14.0
15248,commando,14.0
161247,drill instructor,5.0
191110,army base,4.0
225707,reconnaissance,2.0
225710,sexual discrimination,1.0
14665,barbarian,13.0
234213,sword and sorcery,42.0
9786,burned alive,17.0
161306,world trade center,5.0
182069,jumping off a bridge,1.0
4380,black hole,10.0
8468,crew,7.0
10114,evil spirit,16.0
10135,hellgate,2.0
14888,burning man,3.0
18031,rescue team,9.0
188989,supernatural power,20.0
191586,trapped in space,10.0
223504,distress signal,1.0
227489,derelict ship,1.0
158567,burn victim,7.0
158386,golden retriever,2.0
158387,dog actor,2.0
2751,career woman,10.0
4934,theory,3.0
192097,target,5.0
226689,newsletter,1.0
156789,freeway,2.0
156790,propane,1.0
1881,dutch,10.0
9109,nest,5.0
14673,disease,24.0
5638,arrest,26.0
9098,trunk,2.0
164149,attempted kidnapping,4.0
5295,planetary configuration,2.0
1954,ultimatum,4.0
8986,air force one,2.0
10184,airplane hijacking,7.0
10237,aerial combat,7.0
15089,fighter airplane,4.0
174019,american president,4.0
155460,defection,2.0
1896,portland,3.0
2347,idaho,2.0
2352,narkolepsy,2.0
2353,pink bathrobe,1.0
168551,italian stereotype,4.0
2522,grizzly bear,12.0
4811,emergency landing,3.0
157325,bandage,2.0
167145,knife in thigh,1.0
167164,call girl,9.0
228495,falsifying,1.0
188,buddhism,26.0
1529,buddhist monk,12.0
4559,dalai lama,4.0
4561,lhasa,3.0
3877,covered investigation,8.0
208693,unity,4.0
9792,djinn,4.0
3883,danger of life,8.0
173303,surprising,1.0
9794,toxic,10.0
184503,father-in-law daughter-in-law relationship,3.0
224563,beekeeper,1.0
224564,orlando florida,1.0
8070,stag night,11.0
5451,comic book,28.0
6799,comic-strip artist,4.0
164852,steel worker,2.0
164861,repossession,2.0
164865,male stripper,3.0
10225,pageant,4.0
3734,ambition,37.0
5810,pact with the devil,13.0
7340,crooked lawyer,5.0
162706,temptation,12.0
185459,seven deadly sins,3.0
211062,ethics,7.0
226791,gainesville florida,1.0
9767,beautiful woman,36.0
4170,john f. kennedy,9.0
208930,radio dj,4.0
208931,hall of fame,1.0
6964,tribute,7.0
156204,neil young,1.0
156205,concert film,12.0
4035,blood sample,2.0
4039,biotechnology,2.0
158292,eugenics,3.0
3205,fairy tale,86.0
33564,u.s. soldier,15.0
221663,alternate life form,1.0
221664,"snowfield, co",1.0
221665,deputies,1.0
1738,ukraine,14.0
198141,strange person,7.0
4116,heaven,18.0
10756,janitor,17.0
5975,menstruation,6.0
6156,superstition,13.0
11705,tavern,6.0
34100,all black cast,4.0
9754,profanity,9.0
15214,buddy,13.0
3675,arts and culture,6.0
4826,repair,3.0
5370,arts expert,1.0
5372,host family,2.0
5373,damage,4.0
5374,poster,4.0
5375,artwork,6.0
5376,creativity,7.0
163242,teenage rebellion,6.0
166256,pool cleaner,2.0
208913,spanish music,1.0
3051,hostage drama,12.0
2864,one-night stand,40.0
3817,chance,14.0
4959,death of a friend,31.0
2683,tango,8.0
1661,sarajevo,7.0
7973,bosnian war of 1992-1995,7.0
209129,textile company,1.0
2852,proof,4.0
18321,porn industry,8.0
158968,gay lead character,26.0
8447,amish,9.0
208590,barn raising,1.0
8058,rembrandt,2.0
2900,buenos aires,10.0
210018,half sister,2.0
179485,chinese american,2.0
3692,scandal,28.0
8034,in flagranti,4.0
10328,reality show,8.0
207063,make believe,2.0
207064,pretend,1.0
184950,privileged life,1.0
11579,impalement,9.0
3462,tzar,5.0
158620,russian revolution,2.0
158627,train explosion,2.0
158628,foreign language adaptation,6.0
158629,exploding train,1.0
6034,theatre milieu,19.0
18082,flamethrower,7.0
18086,disembowelment,7.0
158256,gene manipulation,3.0
158993,man in wheelchair,2.0
163270,breeding,2.0
197239,regeneration,3.0
226178,alien queen,1.0
226179,explosive decompression,1.0
226180,swimming underwater,1.0
2831,slavery,54.0
155756,tall ship,2.0
163120,slave trade,2.0
3033,apostle,6.0
3065,minister,21.0
3207,concentration camp prisoner,6.0
172732,police fake,2.0
177927,homeless,9.0
6483,ice hockey,27.0
5914,writer's block,12.0
3092,slime,7.0
5401,tax consultant,2.0
6592,parish hall,1.0
7140,devoutness,3.0
2462,m.i.t.,3.0
228041,prodigy,4.0
7136,technical toy,3.0
6812,film festivals,2.0
166287,school bus,11.0
188974,vehicular accident,1.0
2984,iceberg,6.0
4388,titanic,10.0
4953,ocean liner,9.0
182615,steerage,1.0
182621,salvage,1.0
182625,rich snob,3.0
1774,news broadcast,6.0
3586,tv station,15.0
4023,lyon,3.0
1534,attachment to nature,7.0
2749,riding accident,2.0
2753,horse whisperer,2.0
4794,bluff,2.0
10244,based on cartoon,8.0
167889,short sighted,2.0
418,white russian,2.0
419,dude,3.0
1337,carpet,3.0
1541,nihilism,7.0
160846,ashes,5.0
200646,bowling ball,3.0
219881,weeds,1.0
1690,belgium,16.0
34214,gender,7.0
34333,lgbt child,13.0
193544,save the day,6.0
193546,siblings relations,9.0
193549,eccentric family,2.0
193551,vigilantism,8.0
193552,heroic mission,7.0
206691,buddies,4.0
206692,daring rescue,2.0
206694,master villain,4.0
168663,jamaican,2.0
2733,firemen,24.0
166524,jail break,4.0
191404,forest fire,2.0
2419,staging,6.0
2941,albania,2.0
2943,sex scandal,5.0
2953,media adviser,1.0
185199,matrix,2.0
214730,retrofuturism,1.0
5404,meteor,17.0
208870,cybersuit,1.0
4898,armored car,7.0
8207,crook,8.0
13129,execution,29.0
4373,fraud,29.0
193305,dishonesty,9.0
4715,autopsy,14.0
8264,symbol,5.0
197582,mysterious,6.0
201125,detached,1.0
983,brazilian,91.0
11121,plot,8.0
18263,revolutionary,14.0
637,pop,11.0
1740,pop culture,28.0
33696,sea monster,23.0
196917,armed robbery,2.0
1376,assault rifle,5.0
159932,uzi,6.0
177964,contract killer,10.0
235220,replacement,1.0
223587,tabloid reporter,3.0
178650,bus trip,5.0
3576,raumschiffabsturz,2.0
162350,ocean floor,1.0
159317,rude,1.0
159318,obnoxious,1.0
228768,noodle salad,1.0
177588,religious statue,1.0
177589,aspirin,1.0
3094,australian,26.0
41515,gay parent,4.0
1524,surfer,14.0
1669,wave,8.0
1671,surfboard,7.0
160177,mountaineering,12.0
192779,mount everest,8.0
6201,fall,10.0
6846,borderline personality disorder,6.0
157722,domineering mother,8.0
177695,crime spree,2.0
177703,western u.s.,1.0
2920,cheerleader,32.0
3181,pretended murder,3.0
3184,alligator,16.0
3185,crocodile,20.0
3186,everglades,4.0
3188,heart-throb,7.0
3189,white trash,9.0
3192,intellectually gifted,6.0
3478,parrot,10.0
209065,baskeball,1.0
1794,yakuza,54.0
6203,loss,27.0
6297,japanese mafia,12.0
6375,george w. bush,11.0
1983,pharmacist,8.0
10217,tourette syndrome,8.0
33630,doll,23.0
159546,pharmacy,2.0
185413,boys' school,9.0
164500,infatuation,5.0
209223,multiple sclerosis,3.0
11953,loft,4.0
206039,analingus,1.0
4637,parish,6.0
17986,miscarriage,7.0
184935,gay man straight woman relationship,1.0
7089,dominatrix,13.0
156854,cat fight,3.0
2494,ohio,11.0
168603,deep space explorer,2.0
3432,bangkok,23.0
10656,child in peril,9.0
212760,interspecies romance,7.0
178923,wedding date,2.0
162333,tall man,6.0
189099,giant,15.0
4277,to shoot dead,7.0
208874,sea lion,3.0
4042,underclass,3.0
6215,household,4.0
33873,little people,14.0
5895,viking,26.0
214956,alan smithee,1.0
7540,circumcision,4.0
10983,anthropology,13.0
156181,lecture,10.0
163088,lost tribe,1.0
172715,faked footage,3.0
173117,hoax,1.0
193173,papua new guinea,4.0
208365,new guinea,3.0
216936,circumcision ritual,1.0
178423,embryo,1.0
178424,living under the bridge,1.0
178425,music rights,1.0
14818,model,38.0
209997,iranian new wave,7.0
3683,law and ethics,1.0
11265,mind reading,5.0
17987,killing spree,17.0
3605,baseball bat,10.0
7597,dollar,7.0
8739,jackpot,2.0
10530,atlantic city,5.0
176516,slot machine,4.0
2560,paparazzi,13.0
5413,bungee-jump,3.0
18512,slow motion,5.0
34053,video store,6.0
159514,subtitled scene,1.0
161992,kosher,1.0
161994,stealing a car,2.0
161996,movie poster,1.0
161999,suitcase full of money,3.0
7347,tarzan,22.0
163751,translator,3.0
4319,french revolution,21.0
6941,tsunami,9.0
199076,disaster movie,19.0
5829,nova scotia,4.0
181755,dealing with the past,4.0
2026,lawnmower,3.0
4126,fascination,3.0
4593,atomic bomb test,4.0
5698,egg,18.0
7671,godzilla,29.0
161791,kaiju,49.0
41156,liberal,2.0
165347,swearing,6.0
207009,hip hop culture,4.0
167799,gonzo journalist,1.0
167805,sweaty face,1.0
167809,wedding chapel,1.0
167812,grapefruit,3.0
167818,cadillac convertible,1.0
167822,gibberish,1.0
167830,corvette stingray,2.0
167833,police convention,1.0
165577,interracial love,3.0
173486,drinking contest,2.0
221615,mauling,2.0
2285,telegram,8.0
2982,leaving one's family,8.0
11297,judgment,5.0
41171,pond,4.0
191820,nordic noir,6.0
2833,psychoanalysis,12.0
3125,razor,8.0
14698,throat slitting,17.0
158203,straight razor,3.0
190007,mental hospital,10.0
1638,translation,4.0
1639,clarinet,2.0
1640,conservatory,3.0
1642,bicycle accident,3.0
3768,rest,1.0
188953,sign language,7.0
191088,overleven,1.0
191089,family guy,2.0
155791,american football player,17.0
164615,washed up star,4.0
197083,jocks,1.0
197088,revenge plot,2.0
174420,intern,12.0
4381,napoleon,11.0
161837,foot race,5.0
33896,montage,5.0
7101,substitute teacher,2.0
2156,homeland,8.0
5719,cricket,4.0
41022,protestant,4.0
2908,secret society,24.0
3271,secret organization,14.0
4249,x-files,1.0
167625,talking to animals,5.0
8806,purse,2.0
155552,elmore leonard,3.0
7665,girls' boarding school,15.0
9054,hanging rock,1.0
9950,thriller,66.0
5887,compulsive gambling,4.0
211487,space centre,9.0
167377,lapd,9.0
167381,house on fire,2.0
6476,toy shop,4.0
156337,prototype,2.0
180691,killer toys,6.0
2358,helix,2.0
2362,chaos theory,4.0
2390,migraine,2.0
11223,dream girl,9.0
15027,taboo,7.0
158502,frisbee,1.0
158505,troubadour,1.0
158507,gross out comedy,4.0
194413,intellectual disability,5.0
3393,tombstone,5.0
4382,flashlight,8.0
158726,wooden,2.0
158727,washington monument,1.0
158734,odor,1.0
162512,siren,3.0
10141,battlefield,21.0
33638,warfare,4.0
234078,fighter pilots,1.0
162487,wisecrack humor,4.0
193649,early sound film,1.0
215678,partially lost film,3.0
260,disillusion,2.0
188725,trenches,7.0
227807,young soldier,2.0
235080,battlefield trauma,1.0
193605,land rush,2.0
1317,card game,14.0
9552,baron,10.0
9661,dying man,5.0
169057,merger,2.0
172327,revolving door,2.0
177995,dachshund,6.0
191786,stenographer,6.0
201490,flirtation,4.0
238090,prima ballerina,1.0
238091,bookkeeper,1.0
6611,tahiti,7.0
168297,tyrant,5.0
170314,flogging,5.0
181240,voyage,5.0
190122,ziegfeld,1.0
193275,devil's island,4.0
2693,monopoly,7.0
33701,river patrol,1.0
33702,bombing,19.0
197413,dunkirk,4.0
2677,weekend,9.0
6662,delirium,4.0
156318,bats,4.0
161043,suicidal thoughts,5.0
171567,low self esteem,2.0
201456,paranoid,4.0
447,post traumatic stress  disorder,28.0
2367,rehabilitation,11.0
3089,oscar award,14.0
6974,rise and fall,15.0
14548,political assassination,5.0
179017,hick,2.0
41585,travelling circus,5.0
3365,pearl harbor,12.0
158372,military life,3.0
47079,dock,5.0
69467,longshoreman,2.0
156151,pigeon,5.0
12544,crying,17.0
14646,overbearing mother,4.0
186403,dance hall,10.0
210019,old maid,1.0
9932,feud,4.0
10449,sondheim,6.0
160367,lifting female in air,1.0
165100,young love,23.0
165212,modern day adaptation,4.0
222842,squire,1.0
717,pope,14.0
4350,thomas more,1.0
4351,protestant church,2.0
4352,thomas cromwell,1.0
4353,oath,3.0
190285,henry viii,4.0
3879,suspect,23.0
14783,false accusations,22.0
3430,pickpocket,17.0
916,marseille,11.0
4655,hijacking of train,4.0
238010,herion,1.0
2416,publicity,8.0
5378,world champion,9.0
5383,amateur,1.0
6067,victory,8.0
33494,couple,34.0
162219,selfishness,7.0
188533,blood on face,2.0
216734,abandonment,5.0
172291,grieving,16.0
3044,olympian sports team,2.0
183896,neighbor neighbor relationship,6.0
1327,war crimes,36.0
3996,dynasty,5.0
3999,reeducation camp,1.0
4004,cultural revolution,6.0
163048,decadence,6.0
1906,egocentrism,2.0
214965,savant,1.0
211660,old age,4.0
4367,jinx,5.0
4671,bad luck,14.0
2376,perversity,6.0
2380,audio tape,7.0
4470,punk,45.0
8900,rocker,6.0
206298,young adult,36.0
18129,labyrinth,8.0
170362,fantasy world,19.0
189094,goblin,8.0
6291,tardy hall,1.0
15299,detention,5.0
10170,premonition,9.0
10985,spontaneous combustion,4.0
203360,psychotherapist,3.0
17985,birth,14.0
207884,fetus,3.0
220348,womb,1.0
11469,memory loss,34.0
224625,halfway house,1.0
225210,memories,5.0
793,drowning,32.0
14805,maniac,41.0
15227,counselor,7.0
155627,axe in the head,6.0
1890,camping,47.0
193575,b horror,3.0
207969,brisbane queensland,1.0
163621,jason voorhees,2.0
163651,one by one,1.0
163652,friday the thirteenth,1.0
179422,jason vorhees,7.0
6304,sewerage,2.0
8764,times square,5.0
10024,psychopathic killer,18.0
11040,masked killer,25.0
11488,pot smoking,11.0
157701,psychotic,11.0
174424,smoking pot,3.0
198914,institution,5.0
207159,escaped killer,2.0
1805,curfew,3.0
159433,surveillance camera,7.0
207031,stonehenge,1.0
1435,scissors,4.0
1546,ambulance,20.0
3874,twist,3.0
4728,knife,51.0
207399,october,2.0
10059,boogeyman,3.0
156392,scythe,3.0
156525,heroine,11.0
162538,pitchfork,8.0
164218,psychotronic,8.0
176182,psycho,20.0
194729,disco dancing,3.0
10081,locker room,5.0
15085,splatter,24.0
18005,high school friends,6.0
18732,sexual repression,2.0
33725,locker,4.0
166229,prom queen,6.0
13067,body double,2.0
172454,casual sex,4.0
201120,ginger,2.0
6151,faithlessness,2.0
10603,killer doll,7.0
171781,military academy,6.0
206266,war games,1.0
2723,medium,12.0
3093,ghostbuster,5.0
196964,power of goodness,2.0
4769,supernatural powers,39.0
5569,vomit,12.0
10112,ouija board,14.0
18402,strong language,5.0
179564,disturbed child,3.0
198435,sfx,1.0
4793,examination,3.0
179566,locust,2.0
167316,buddy cop,20.0
234038,recklessness,2.0
167328,diplomatic immunity,1.0
167331,loss of girlfriend,1.0
155716,rookie cop,7.0
167308,dog biscuit,1.0
167309,shooting practice,2.0
167311,judo throw,1.0
167313,police psychologist,2.0
167319,firing range,1.0
2182,bars and restaurants,4.0
2551,pet,12.0
2725,sunlight,7.0
5151,salesperson,3.0
6126,banking,17.0
7948,skunk,2.0
10005,gremlin,3.0
10006,ymca,1.0
4713,research station,4.0
5157,electric shock,7.0
6247,cleverness,2.0
14778,urination,15.0
169925,hidden,4.0
169929,reference to liberace,2.0
169930,group vomit,1.0
169931,exercise machine,1.0
169936,water slide,1.0
169945,housing,1.0
169950,foreclosure,3.0
169951,walking the plank,1.0
169953,lost treasure,2.0
169955,lifting male in air,1.0
5113,overpopulation,7.0
3223,machine town,2.0
3640,work,21.0
5966,tower of babel,1.0
