,name,num
3446,forgiveness,22.0
3447,charity,9.0
3448,mercy petition,1.0
6145,right and justice,21.0
6148,court,47.0
11263,electric chair,10.0
13014,orphan,108.0
204353,identical twin,2.0
1525,puberty,42.0
6664,make a match,11.0
7208,spoiled child,7.0
10199,gay interest,73.0
11933,conflict,28.0
3644,south africa,32.0
1930,kidnapping,298.0
13084,king,50.0
11254,loss of virginity,29.0
159640,hiding in a dumpster,1.0
159643,mercy killing,2.0
159660,armored truck,4.0
159661,crushed by a car,1.0
1279,medicine,28.0
2098,fountain,6.0
10329,wealth,57.0
44448,spaniel,1.0
44449,gloves,5.0
779,martial arts,311.0
1299,monster,282.0
10292,gore,245.0
10821,sorcerer,24.0
12380,tournament,19.0
41645,based on video game,77.0
188955,hand to hand combat,18.0
596,adultery,172.0
1442,winter,61.0
2136,television,51.0
6018,new hampshire,6.0
208477,narcissistic personality disorder,1.0
1334,wedding vows,10.0
1459,marriage proposal,45.0
2587,married couple,48.0
5773,monogamy,1.0
5999,advice,7.0
6038,marriage,251.0
9470,quilt,1.0
9673,love,559.0
33694,family holiday,20.0
34094,extramarital affair,172.0
164039,grandmother,16.0
476,self-fulfilling prophecy,3.0
1470,s.w.a.t.,5.0
2231,drug dealer,89.0
3597,evisceration,2.0
3857,lust and impulsiveness,3.0
3932,pride and vanity,4.0
4138,immoderateness,2.0
4142,insomnia,14.0
5340,investigation,178.0
6125,pension,6.0
6149,police,447.0
1463,culture clash,27.0
3591,settler,17.0
3691,forbidden love,48.0
4090,colony,10.0
4344,musical,680.0
4542,gold rush,10.0
7376,princess,78.0
9840,romance,229.0
10322,native american,101.0
10336,animation,106.0
160977,virginia,7.0
165086,star crossed lovers,11.0
173808,reference to pizarro,1.0
173811,jamestown virginia,1.0
173815,pug dog,1.0
173823,cross cultural relationship,2.0
173824,musket,2.0
173825,animate tree,1.0
180217,indian chief,3.0
185343,based on myths or folklore,13.0
207941,17th century,13.0
208426,shamanism,2.0
225547,songs,3.0
230456,indians vs. settlers,1.0
234183,animal sidekick,4.0
234184,powhatan,1.0
234185,land claim,1.0
1992,professor,85.0
158718,lgbt,177.0
3703,law,25.0
5493,relatives,10.0
14604,theft,59.0
15009,criminal,125.0
18024,hungarian,23.0
18027,sibling,5.0
2393,adoption,59.0
4130,adoptive father,5.0
5885,childlessness,10.0
6230,looking for  birth parents,6.0
8018,adoptive mother,4.0
208349,child,49.0
6075,sport,527.0
9963,kids and family,32.0
13042,soccer,76.0
2679,artist,92.0
6027,music,194.0
33624,band,25.0
2672,baltimore,9.0
4543,thanksgiving,24.0
7629,family clan,6.0
155294,family conflict,21.0
171760,generations conflict,2.0
3344,letter,45.0
4461,postman,12.0
5420,fisherman,38.0
5933,poet,38.0
1990,cupboard,4.0
6186,games,18.0
6300,puppet,39.0
33465,parallel world,31.0
1419,gun,112.0
2801,self-defense,19.0
204959,grieving parents,5.0
1233,composer,27.0
1310,mentor,17.0
1635,deaf-mute,18.0
4488,apprentice,11.0
5289,private life,5.0
158558,disabled,30.0
248,date,33.0
398,slang,4.0
898,hip-hop,40.0
4438,cousin,15.0
9755,parody,61.0
10700,hood,12.0
11514,social satire,20.0
12425,racism,108.0
5918,painting,60.0
167868,seasickness,3.0
4166,biotope,3.0
4459,vegetarian,18.0
6305,pollution,17.0
2157,hacker,40.0
4563,virtual reality,45.0
6104,computer,57.0
9725,sword fight,66.0
128,love triangle,152.0
2335,southern france,12.0
2918,estate agent,8.0
3190,menage a trois,23.0
4580,van,25.0
970,parent child relationship,79.0
4562,rapper,14.0
246,dancing,97.0
459,sexual obsession,22.0
797,showdown,41.0
798,sheriff,117.0
1664,eroticism,98.0
2483,nudity,632.0
2492,bank robber,52.0
3133,vampire,224.0
3649,holy water,4.0
4063,siege,17.0
6593,stripper,61.0
10093,priest,107.0
14601,explosion,115.0
14687,extreme violence,67.0
15363,bank robbery,72.0
18072,preacher,17.0
18233,hostage situation,8.0
41380,crucifix,12.0
163795,recreational vehicle,3.0
167664,blood spurting,3.0
168152,convenience store,7.0
174878,female vampire,16.0
188711,mexican american border,1.0
191441,nightclub entertainer,3.0
227811,boa constrictor,1.0
258,bomb,71.0
572,sex,680.0
772,handcuffs,19.0
1812,fbi,105.0
2808,russian,40.0
4426,sadism,71.0
4530,parking garage,5.0
4735,pizza,15.0
6259,psychopath,132.0
9714,remake,200.0
9844,car crash,88.0
10410,conspiracy,109.0
10562,on the run,66.0
10718,fugitive,60.0
12371,gunfight,71.0
13125,sadist,24.0
14967,foot chase,19.0
15167,police detective,35.0
15321,police station,16.0
15483,car chase,77.0
18525,fbi agent,69.0
155555,computer hacker,13.0
156650,machine gun,19.0
156788,swat team,11.0
156816,grenade launcher,4.0
158247,underwater scene,7.0
176802,rogue agent,5.0
181145,woman lawyer,2.0
188294,damsel in distress,11.0
3616,college,157.0
745,nun,48.0
2792,boxer,52.0
10909,lawyer,163.0
11508,jewish,50.0
2778,florist,10.0
10235,family relationships,137.0
10624,bully,38.0
312,man vs machine,21.0
10158,alien planet,19.0
15354,struggle for survival,3.0
6381,loss of daughter,11.0
6440,hit-and-run driving ,7.0
9748,revenge,614.0
10614,tragedy,52.0
1417,jurors,11.0
1936,blackmail,131.0
5153,son,33.0
11038,trial,50.0
33519,courtroom,67.0
1357,fish,28.0
33648,celebration,38.0
40846,goldfish,2.0
494,father son relationship,218.0
801,bounty hunter,39.0
1422,boat,73.0
1587,way of life,4.0
1909,coffin,36.0
1977,denver,4.0
2022,godmother,2.0
2340,paranoia,76.0
10738,diner,44.0
11221,blood,266.0
236,suicide,304.0
240,underdog,48.0
460,free love,25.0
490,philosophy,42.0
791,mentally disabled,19.0
936,loss of mother,48.0
1842,village life,18.0
1956,world war ii,383.0
2383,feminism,33.0
3154,indian summer ,3.0
3371,family history,15.0
4129,widow,102.0
4402,peasant,33.0
5331,village,103.0
6009,mathematics,19.0
6089,freedom,32.0
9457,single,55.0
10180,homosexuality,175.0
11925,domestic violence,24.0
13160,university,53.0
6984,racial segregation,21.0
11004,rural setting,99.0
12532,african american,39.0
4034,class society,12.0
7579,rich woman - poor man,4.0
14760,scientist,160.0
182662,naturalist,3.0
208526,insect,8.0
2082,sailing trip,4.0
2913,diary,32.0
3180,sailing,18.0
10349,survival,139.0
46962,discipline,8.0
167836,squall,1.0
167837,sail,1.0
167843,ship captain,9.0
167863,male bonding,3.0
168683,storm at sea,8.0
208992,1960s,62.0
5306,boss,16.0
5572,fistfight,53.0
14762,orangutan,5.0
158039,hotel manager,2.0
169078,nitrous oxide,1.0
169079,candid camera,2.0
169085,double act,7.0
169086,political satire,26.0
169097,crooked politician,2.0
477,train station,22.0
6078,politics,146.0
10124,laboratory,36.0
156033,jekyll and hyde,14.0
191009,housemaid,4.0
207928,19th century,82.0
3630,half vampire,3.0
155808,hometown,15.0
720,helicopter,85.0
1261,river,62.0
1353,underground,29.0
1825,countdown,8.0
3203,pilot,83.0
8122,canyon,4.0
9052,major,6.0
13008,train,136.0
15263,park ranger,3.0
18034,desert,128.0
162365,military,61.0
208547,nuclear device,1.0
209476,boxing,20.0
214472,stealth aircraft,1.0
215861,abandoned mine,3.0
219869,humvee,2.0
14531,play,15.0
185011,hamlet,4.0
207317,christmas,251.0
207716,actor,47.0
376,neo-nazi,10.0
379,skinhead,17.0
1974,breakdance,9.0
1975,arabian,13.0
3925,boredom,11.0
14632,suburb,19.0
15090,police officer,79.0
156052,unemployment,42.0
156702,capture,10.0
160910,xenophobia,37.0
2398,narration,48.0
13059,prostitution,115.0
417,corruption,176.0
1568,undercover,89.0
1601,war on drugs,18.0
1919,mayor,33.0
4654,undercover agent,32.0
1437,burglar,25.0
2568,language barrier,12.0
2669,motel,58.0
10323,psychiatric hospital,18.0
13097,maid,34.0
15274,nervous breakdown,12.0
187710,escapade,15.0
187717,laundry room,1.0
1157,wife husband relationship,165.0
1706,experiment,78.0
10937,memory,51.0
160313,forensic,5.0
163114,gunman,7.0
168069,animal experimentation,3.0
1872,loss of father,54.0
2702,golf,23.0
6128,taxes,7.0
455,farewell,14.0
1003,photographer,86.0
2029,iowa,6.0
2038,love of one's life,106.0
2784,mother role,15.0
3450,bridge,42.0
3451,housewife,26.0
3452,love letter,22.0
5809,marriage crisis,58.0
6025,photography,46.0
7879,secret love,44.0
221355,nature documentary,5.0
530,prophecy,31.0
3392,voodoo,40.0
13072,falling in love,80.0
196682,rich man,6.0
4418,pirate gang,8.0
6956,treasure hunt,50.0
388,scotland,56.0
930,in love with enemy,13.0
3754,legend,39.0
4097,independence,16.0
6987,idealism,9.0
162845,revolt,14.0
189433,tyranny,9.0
422,vietnam veteran,42.0
444,taxi,43.0
4225,night shift,9.0
7002,vigilante,58.0
7368,alienation,13.0
9622,misanthrope,5.0
242,new york,263.0
1545,supermarket,26.0
2987,gang war,27.0
4640,disabled child,4.0
13027,wedding,221.0
33461,diamond,33.0
161307,bronx,11.0
6015,mining,14.0
40897,dance lesson,2.0
164742,coal mining,5.0
188645,bagpipes,4.0
15016,twins,70.0
17953,country,8.0
177035,identity swap,9.0
1755,fascism,29.0
2450,auschwitz,13.0
4020,typhus,3.0
4399,victim,30.0
4434,interview,71.0
10360,prejudice,22.0
11728,burglary,12.0
15199,rabbit,21.0
212,london england,236.0
351,poison,56.0
9672,based on true story,194.0
11857,mental institution,20.0
13130,teenager,434.0
15106,psychiatrist,76.0
232550,stepmother,2.0
234682,social misfit,1.0
1253,roommate,58.0
158967,brooklyn bridge,5.0
7375,twin brother,23.0
155881,estate,19.0
208563,santa barbara california,2.0
1668,hawaii,28.0
5657,australia,115.0
33885,car,67.0
175976,solar power,2.0
2273,role of women,11.0
2336,ladykiller,33.0
3836,success,33.0
6779,ladies' man,5.0
7769,chefin,1.0
8642,casanova,8.0
9094,womanizer,21.0
1595,ex-girlfriend,24.0
3391,drug smuggle,22.0
5490,girlfriend,55.0
6618,snack bar,4.0
12354,hong kong,55.0
180294,pineapple,3.0
185265,expiration date,1.0
185266,flight attendant,2.0
5498,lsd,22.0
6231,half-brother,5.0
334,flying,39.0
2343,magic,206.0
13028,writer,146.0
14985,ireland,53.0
187844,flashback,143.0
208501,troop ship,1.0
550,callgirl,8.0
582,san francisco,77.0
1625,emigration,13.0
190019,dominican republic,4.0
339,submarine,59.0
4410,u.s. navy,30.0
9789,misfit,25.0
11800,mockumentary,59.0
531,southern usa,39.0
10229,singer,110.0
207981,south,2.0
238179,skab under tv,15.0
238241,foran,9.0
238242,nederste hylde,3.0
237,gay,257.0
824,drag queen,21.0
1013,homophobia,47.0
1196,florida,48.0
1862,coming out,53.0
2944,senator,23.0
6083,politician,52.0
201554,crossdressing,5.0
210608,1990s,15.0
1262,mountain,81.0
2618,miracle,28.0
10164,apparition,8.0
173644,communism,36.0
178611,virgin mary,2.0
188993,true love,7.0
208725,irish catholic,2.0
822,airport,59.0
3688,strip club,42.0
4009,witness protection,14.0
11730,internal affairs,8.0
14707,brutality,46.0
18026,drug lord,31.0
166856,hangar,2.0
167114,loose cannon,3.0
167115,bust,1.0
167119,reference to skittles,1.0
167124,black cop,2.0
167128,badge,1.0
219404,action hero,8.0
226376,corrupt cop,11.0
478,china,84.0
8531,panda,8.0
8723,poacher,10.0
6496,basketball,54.0
6782,addiction,42.0
6344,liverpool,8.0
206032,theatre company,1.0
207883,1940s,48.0
305,moon,51.0
1432,nasa,33.0
2345,spaceman,5.0
4776,race against time,20.0
9609,houston,3.0
9882,space,96.0
10617,disaster,85.0
14626,astronaut,67.0
156395,imax,50.0
184994,saturn v rocket,1.0
189098,courage,6.0
193479,hypothermia,2.0
226233,apollo program,2.0
226234,cape kennedy,1.0
226235,lunar mission,2.0
226236,spacecraft accident,1.0
160279,18th century,20.0
208070,highlands,3.0
220446,violent man,2.0
12105,student,160.0
483,riddle,26.0
849,dc comics,76.0
3259,rose,10.0
6969,gotham city,10.0
9104,partner,24.0
9715,superhero,175.0
10486,robin,9.0
10525,broken neck,7.0
33518,district attorney,22.0
33981,falling down stairs,5.0
34156,tied up,8.0
156116,tommy gun,4.0
157166,beretta,2.0
157583,knocked out,4.0
163455,super powers,96.0
170383,disfigurement,18.0
170652,father figure,17.0
848,double life,34.0
851,dual identity,24.0
1411,brothel,41.0
2316,women's sexual identity,16.0
2486,fantasy,69.0
3260,masochism,13.0
5499,burma,10.0
5855,rangoon,1.0
13005,doctor,192.0
919,smoking,25.0
1901,corner shop,3.0
3170,cigarette,11.0
6357,tobacco,6.0
6458,cigar,3.0
3335,halloween,70.0
6152,supernatural,166.0
6155,afterlife,36.0
15017,danger,30.0
162846,ghost,193.0
189449,disorder,8.0
193545,young heroes,5.0
202322,imaginary,6.0
206813,supernatural ability,5.0
206834,mischievous children,2.0
11505,drug pusher,3.0
690,gorilla,23.0
2521,kongo,3.0
3379,diamond mine,5.0
1860,mutiny,22.0
2139,russia,74.0
2534,missile,17.0
3312,nuclear missile,16.0
4123,embassy,13.0
4933,battle for power,10.0
6791,torpedo,5.0
198423,moral dilemma,11.0
217133,post cold war,1.0
221092,aircraft carrier,2.0
226740,chain of command,1.0
226741,launch code,1.0
226742,sonar,1.0
14893,art,56.0
75,gunslinger,29.0
139,anti terror,5.0
502,ambush,34.0
534,mexico,109.0
953,guitar,24.0
3458,bartender,22.0
10044,tragic hero,10.0
14575,mariachi,3.0
41372,leg brace,3.0
154889,concealed weapon,1.0
226790,bookstore,2.0
5823,jazz club,8.0
155790,private detective,55.0
195402,film noir,304.0
1321,gold,80.0
9663,sequel,435.0
9758,deception,60.0
177309,simon says,1.0
188329,dump truck,1.0
192707,aqueduct,2.0
226838,federal reserve bank,1.0
2652,nazis,170.0
13017,drifter,25.0
180340,voyeur,46.0
3966,camelot,9.0
10466,knight,46.0
10982,king arthur,11.0
177128,excalibur,2.0
177129,knights of the round table,3.0
4676,whale,21.0
155529,killer whale,6.0
293,female nudity,553.0
9835,sexual fantasy,24.0
9864,prank,28.0
11615,internet,38.0
12190,cyberpunk,59.0
41249,secret service,22.0
160840,dream sequence,18.0
740,aids,42.0
10181,based on play or musical,137.0
